alias,canonical
U.A.E.,United Arab Emirates
UAE,United Arab Emirates
U.S.A.,United States of America
USA,United States of America
US,United States of America
P.N.G.,Papua New Guinea
PNG,Papua New Guinea
West Indies,West Indies
WI,West Indies
Netherlands,Netherlands
Holland,Netherlands
Sri Lanka,Sri Lanka
SL,Sri Lanka
New Zealand,New Zealand
NZ,New Zealand
South Africa,South Africa
SA,South Africa
Pakistan,Pakistan
PAK,Pakistan
India,India
IND,India
Australia,Australia
AUS,Australia
England,England
ENG,England
Bangladesh,Bangladesh
BAN,Bangladesh
Zimbabwe,Zimbabwe
ZIM,Zimbabwe
Afghanistan,Afghanistan
AFG,Afghanistan
Scotland,Scotland
SCO,Scotland
Ireland,Ireland
IRE,Ireland
Namibia,Namibia
NAM,Namibia
Oman,Oman
Nepal,Nepal
Canada,Canada
Hong Kong,Hong Kong
Jersey,Jersey
Kenya,Kenya
